filename,speaker,tier,utteranceID,wordID,startTime,endTime,orth,pos,pos1,pos2,pos3,cForm,cType,lemma,ruby,pron,phonemes,nth,len
sample_processed,B,Word_B,000537B,000537B,0.537,0.737,この,連体詞,,,,,,此の,コノ,コノ,k o n o,1,20
sample_processed,B,Word_B,000537B,000737B,0.737,1.107,アプリ,名詞,普通名詞,一般,,,,アプリ-application,アプリ,アプリ,a p u r i,2,20
sample_processed,B,Word_B,000537B,001107B,1.107,1.587,は,助詞,係助詞,,,,,は,ハ,ワ,w a,3,20
sample_processed,B,Word_B,000537B,001587B,1.587,2.027,音声,名詞,普通名詞,一般,,,,音声,オンセイ,オンセー,o N s e e,4,20
sample_processed,B,Word_B,000537B,002027B,2.027,2.157,の,助詞,格助詞,,,,,の,ノ,ノ,n o,5,20
sample_processed,B,Word_B,000537B,002157B,2.157,2.907,書き起こし,名詞,普通名詞,一般,,,,書き起こし,カキオコシ,カキオコシ,k a k i o k o sh i,6,20
sample_processed,B,Word_B,000537B,002907B,2.907,3.347,や,助詞,副助詞,,,,,や,ヤ,ヤ,y a,7,20
sample_processed,B,Word_B,000537B,003347B,3.347,3.777,携帯,名詞,普通名詞,サ変可能,,,,携帯,ケイタイ,ケータイ,k e e t a i,8,20
sample_processed,B,Word_B,000537B,003777B,3.777,3.927,素,接尾辞,名詞的,一般,,,,素,ソ,ソ,s o,9,20
sample_processed,B,Word_B,000537B,003927B,3.927,4.817,解析,名詞,普通名詞,サ変可能,,,,解析,カイセキ,カイセキ,k a i s e k i,10,20
sample_processed,B,Word_B,000537B,004817B,4.817,5.147,単語,名詞,普通名詞,一般,,,,単語,タンゴ,タンゴ,t a N g o,11,20
sample_processed,B,Word_B,000537B,005147B,5.147,5.667,や,助詞,副助詞,,,,,や,ヤ,ヤ,y a,12,20
sample_processed,B,Word_B,000537B,005667B,5.667,6.007,音素,名詞,普通名詞,一般,,,,音素,オンソ,オンソ,o N s o,13,20
sample_processed,B,Word_B,000537B,006007B,6.007,6.147,の,助詞,格助詞,,,,,の,ノ,ノ,n o,14,20
sample_processed,B,Word_B,000537B,006147B,6.147,6.767,セグメント,名詞,普通名詞,一般,,,,セグメント-segment,セグメント,セグメント,s e g u m e N t o,15,20
sample_processed,B,Word_B,000537B,006767B,6.767,6.887,が,助詞,格助詞,,,,,が,ガ,ガ,g a,16,20
sample_processed,B,Word_B,000537B,006887B,6.887,7.237,できる,動詞,非自立可能,,,連体形-一般,上一段-カ行,出来る,デキル,デキル,d e k i r u,17,20
sample_processed,B,Word_B,000537B,007237B,7.237,7.317,ん,助詞,準体助詞,,,,,の,ノ,ン,N,18,20
sample_processed,B,Word_B,000537B,007317B,7.317,7.437,だ,助動詞,,,,終止形-一般,助動詞-ダ,だ,ダ,ダ,d a,19,20
sample_processed,B,Word_B,000537B,007437B,7.437,7.717,って,助詞,副助詞,,,,,って,ッテ,ッテ,cl t e,20,20
sample_processed,A,Word_A,008333A,008333A,8.333,8.563,へえ,感動詞,一般,,,,,へえ,ヘエ,ヘー,h e e,1,5
sample_processed,A,Word_A,008333A,008563A,8.563,8.863,そう,副詞,,,,,,そう,ソウ,ソー,s o o,2,5
sample_processed,A,Word_A,008333A,008863A,8.863,9.033,な,助動詞,,,,連体形-一般,助動詞-ダ,だ,ダ,ナ,n a,3,5
sample_processed,A,Word_A,008333A,009033A,9.033,9.113,ん,助詞,準体助詞,,,,,の,ノ,ン,N,4,5
sample_processed,A,Word_A,008333A,009113A,9.113,9.193,だ,助動詞,,,,終止形-一般,助動詞-ダ,だ,ダ,ダ,d a,5,5
sample_processed,A,Word_A,009513A,009733A,9.733,10.023,それ,代名詞,,,,,,其れ,ソレ,ソレ,s o r e,1,4
sample_processed,A,Word_A,009513A,010023A,10.023,10.193,は,助詞,係助詞,,,,,は,ハ,ワ,w a,2,4
sample_processed,A,Word_A,009513A,010193A,10.193,10.603,すごい,形容詞,一般,,,終止形-一般,形容詞,凄い,スゴイ,スゴイ,s u g o i,3,4
sample_processed,A,Word_A,009513A,010603A,10.603,10.803,ね,助詞,終助詞,,,,,ね,ネ,ネ,n e,4,4
sample_processed,B,Word_B,011354B,011354B,11.354,11.774,でしょ,助動詞,,,,意志推量形,助動詞-デス,です,デス,デショ,d e sh o,1,8
sample_processed,B,Word_B,011354B,011774B,11.774,12.674,みんな,名詞,普通名詞,副詞可能,,,,皆,ミナ,ミンナ,m i N n a,2,8
sample_processed,B,Word_B,011354B,012674B,12.674,12.794,も,助詞,係助詞,,,,,も,モ,モ,m o,3,8
sample_processed,B,Word_B,011354B,012794B,12.794,13.204,使っ,動詞,一般,,,連用形-促音便,五段-ワア行,使う,ツカウ,ツカッ,ts u k a ts u,4,8
sample_processed,B,Word_B,011354B,013204B,13.204,13.274,て,助詞,接続助詞,,,,,て,テ,テ,t e,5,8
sample_processed,B,Word_B,011354B,013274B,13.274,13.404,み,動詞,非自立可能,,,連用形-一般,上一段-マ行,見る,ミル,ミ,m i,6,8
sample_processed,B,Word_B,011354B,013404B,13.404,13.574,て,助詞,接続助詞,,,,,て,テ,テ,t e,7,8
sample_processed,B,Word_B,011354B,013574B,13.574,13.754,ね,助詞,終助詞,,,,,ね,ネ,ネ,n e,8,8
